word,annotation 
common,o
breakfast,o
option,o
in,o
the,o
south,o
Healthy,o
n,o
tasty,o
anshika_n_me,o
This,o
is,o
chilla,o
north,o
India,loc
or,o
pesarattu,o
south,o
India,loc
mamta_apatel,per
How,o
long,o
we,o
can,o
keep,o
this,o
batter,o
in,o
fridge,o
skumari327,per
Bhut,o
tasty,o
hai,o
Maine,o
bnaya,o
but,o
toot,oo
jata,o
hai,o
aapka,o
aise,o
perfect,o
kaise,o
mummysapron,o
mamta_apatel,o
aap,o
fridge,o
me,o
1week,o
aaram,o
se,o
rakh,o
sakti,o
hai,o
mummysapron,o
lalitaohdar,per
mere,o
kitchen,o
me,o
bhi,o
healthy,o
recipes,o
hai,o
plz,o
visit,o
comment,o
karke,o
batae,o
kaisi,o
lagi,o
mummysapron,o
muasonayadav6290,per
yes,o
aap,o
isko,o
diet,o
me,o
bhi,o
le,o
sakte,o
aur,o
diet,o
recipes,o
ke,o
liye,o
visit,o
kare,o
mete,o
youtube,org
kitchen,o
me,o
mummysapron,o
skumari327,per
1,num
se,o
2,num
baar,o
practice,o
स,o
aapko,o
bhi,o
aa,o
jayega,o
yummywale,o
Nice,o
priyapanwar9656,per
Harnaaz,per
manan,per
world,o
tanyac_b,per
Can,o
I,o
make,o
it,o
without,o
coriander,o
leaves,o
mamta_apatel,o
mummysapron,o
thank,o
you,o
abhabhatt26,per
Super,o
khadija,o
shah,per
Is,o
there,o
any,o
way,o
to,o
make,o
it,o
very,o
crispy,o
with,o
very,o
little,o
oil,o
in,o
it,o
nehashri20,per
Thanks,o
Kavita,per
ji,o
it,o
turns,o
out,o
so,o
well,o
Too,o
perfect,o
kabitaskitchen,per
nehashri20,per
glad,o
you,o
liked,o
it,o
surbhi_dua,per
Hi,o
kabitaskitchen,per
if,o
possible,o
can,o
you,o
please,o
suggest,o
a,o
good,o
mixer,o
blender,o
nehashri20,per
kabitaskitchen,per
my,o
1,o
9,num
years,o
munchkin,o
ate,o
it,o
thoroughly,o
and,o
thanks,o
for,o
replying,o
You,o
voice,o
is,o
so,o
soothing,o
Keep,o
growing,o
jabeen5370,per
Healthy,o
shantibhakat,per
Hi,o
pls,o
share,o
chutney,o
recipe,o
hcanchi,o
adai,o
very,o
common,o
in,o
south,o
india,loc
tasty,o
n,o
healthy,o
too,o
angelic_anu_ss,o
Aj,o
mai,o
ye,o
dhosa,o
bnai,o
really,o
bht,o
hi,o
teasty,o
bna,o
Tq,o
so,o
much,o
ma,o
am,o
for,o
healthy,o
recipes,o
muasonayadav6290,per
Diet,o
me,o
b,o
le,o
skte,o
h,o
